subject,stimulus_index,stimulus_label,root_area_id,node,n_neurons,n_frames,n_windows,FCV_raw,FCS_raw,FCV_z,FCS_z
18,10,OMR forward,3,MOS2,520,192,35,0.08938865090852297,0.8305153671892824,-0.48623792454542947,0.47347905901837856
18,10,OMR forward,4,MOS3,1090,192,35,0.0931741176453694,0.8358327826233841,-0.4492242520357611,0.4959236590574395
18,10,OMR forward,5,MOS4,852,192,35,0.08966365815434024,0.8334423435335472,-0.4835489488280133,0.4858337102930374
18,10,OMR forward,6,MOS5,1066,192,35,0.0900351746746687,0.8304695007946646,-0.4799163212628257,0.47328545878247674
18,10,OMR forward,7,IPN,92,192,35,0.10384429070986503,0.8098472604416604,-0.3448930509221722,0.3862397986551604
18,10,OMR forward,8,IO,14,192,35,0.21609178515449984,0.6390392941286845,0.7526445285166297,-0.334733865127759
18,10,OMR forward,9,Hc,68,192,35,0.0941952998976515,0.8251340637737585,-0.4392392995619365,0.4507647903389612
18,10,OMR forward,10,Ra,316,192,35,0.08612722785115709,0.8254853161266517,-0.5181275839593669,0.45224741261498375
18,10,OMR forward,11,T,921,192,35,0.08480244089393738,0.8385332604133089,-0.5310811334126796,0.507322268900958
18,10,OMR forward,12,aRF,468,192,35,0.09124447386005656,0.832785611988771,-0.46809199228947335,0.48306167244152687
18,10,OMR forward,13,imRF,567,192,35,0.10043568471627044,0.8166435560334528,-0.3782218409319631,0.4149266932932475
18,10,OMR forward,14,pRF,842,192,35,0.09218180718927718,0.8312768751907144,-0.4589269008246697,0.4766933541454945
18,10,OMR forward,16,Hb,254,192,35,0.14313936405359307,0.7592289988854747,0.03932772741170776,0.17258212052546681
18,10,OMR forward,17,Hi,414,192,35,0.08704906062409251,0.8380426793373961,-0.5091140543900816,0.5052515456008787
18,10,OMR forward,18,HR,84,192,35,0.0950499298464043,0.8266535422744095,-0.43088286817867116,0.45717844893639664
18,10,OMR forward,19,OG,37,192,35,0.1775157302535278,0.6444667721499187,0.37545419451595047,-0.31182469526562034
