epsilon,run,layer,fc_state_mean,fc_state_std,fc_state_width_p95_p05,fcv_from_fc_state
0.5,40,Layer 4,0.22442737876365226,0.4889800021863265,1.365570638009458,0.4875311693656141
0.5,41,Layer 1,0.06927595664393925,0.21605802980079244,0.6646471557606004,0.2154178564535098
0.5,41,Layer 4,-0.023228034022520598,0.27005929506208126,0.8691820166311868,0.26925911761417953
0.5,42,Layer 1,0.026375442207255313,0.3072145822268741,0.8600563163769147,0.30630431479724174
0.5,42,Layer 4,-0.05672212536589262,0.3438308460648676,1.0898525719541459,0.3428120857631686
0.5,43,Layer 1,0.4917706285768714,0.31366298836319967,0.8930671042435036,0.31273361450301834
0.5,43,Layer 4,0.2700085493456526,0.47462602815247756,1.3435896931326041,0.47321972571868265
0.5,44,Layer 1,-0.20128967640736953,0.3814504538936112,1.1561262511544166,0.38032022784222724
0.5,44,Layer 4,0.2814153112689683,0.29419295964008546,0.900676669295998,0.293321274880702
0.5,45,Layer 1,0.16684997006009744,0.48694451008067297,1.3694592869335738,0.48550170836093764
0.5,45,Layer 4,0.6060480292287231,0.21664729816673983,0.6043093497022647,0.2160053788352759
0.5,46,Layer 1,-0.04133714563656722,0.4610350224649755,1.35515049114347,0.45966898976617665
0.5,46,Layer 4,0.5814719193135773,0.15705394647531346,0.4578856807152602,0.1565886004258667
0.5,47,Layer 1,0.8536533855592404,0.15368243337576948,0.4751619614248894,0.1532270770167236
0.5,47,Layer 4,0.9112813337140974,0.09961226119969177,0.2830471840479273,0.09931711311035026
0.5,48,Layer 1,0.7956462638606346,0.2103242263669927,0.596586379496455,0.20970104210426418
0.5,48,Layer 4,0.744641927872681,0.312260383640774,0.9251212155641024,0.3113351656555717
