realization,null_type,max_relative_margin_error,metric,n_regions,pearson_r,pearson_p,spearman_rho,spearman_p
21,strength_preserving,6.51909113357533e-16,OO_fraction,41,0.3642511393060758,0.019217365587135143,0.2563209343813333,0.1057373849388387
21,root_pair_preserving,7.112373034392401e-16,DCApost,41,0.1469824416659316,0.3591239181973601,0.04059233449477353,0.8010538151143001
21,root_pair_preserving,7.112373034392401e-16,OO_fraction,41,0.5159812893555241,0.0005543353922292878,0.37192690682679186,0.016645401339824915
22,strength_preserving,6.259426715574179e-16,DCApost,41,-0.26962722027184866,0.08823176622788108,-0.3008710801393729,0.055941622240225565
22,strength_preserving,6.259426715574179e-16,OO_fraction,41,0.29497057375807784,0.061176108027475855,0.20627452938561516,0.19569219311327207
22,root_pair_preserving,5.921189464667501e-16,DCApost,41,0.10301853158233854,0.5215553806404359,0.017944250871080144,0.9113349811075081
22,root_pair_preserving,5.921189464667501e-16,OO_fraction,41,0.4625476908962543,0.0023274651392291394,0.3448998695280798,0.027216689419788963
23,strength_preserving,6.67256965165258e-16,DCApost,41,-0.16934457307435447,0.28984153012261776,-0.1585365853658537,0.32216649363985345
23,strength_preserving,6.67256965165258e-16,OO_fraction,41,0.25821822869647365,0.10309113895750632,0.17559914520997655,0.2721296570232357
23,root_pair_preserving,8.5125469318112e-16,DCApost,41,0.05043626446579287,0.7541578019751659,-0.08101045296167249,0.6146076519591139
23,root_pair_preserving,8.5125469318112e-16,OO_fraction,41,0.538560815952566,0.00028077806836564726,0.36496735490788185,0.018964060193685756
24,strength_preserving,7.931063455617425e-16,DCApost,41,0.04185533410015443,0.7949944719675949,-0.08031358885017423,0.6176653229473923
24,strength_preserving,7.931063455617425e-16,OO_fraction,41,0.27168086881598985,0.08574292653653988,0.17163269122725006,0.2832774498778705
24,root_pair_preserving,6.405644102168763e-16,DCApost,41,0.22890655579318403,0.14998526514949553,0.1439024390243903,0.36939126349376183
24,root_pair_preserving,6.405644102168763e-16,OO_fraction,41,0.5176260614311959,0.0005283754391690751,0.34751538926666486,0.025996361900473205
25,strength_preserving,9.416451578776065e-16,DCApost,41,0.07255627444122144,0.6521233680546294,0.027874564459930317,0.8626529220590764
25,strength_preserving,9.416451578776065e-16,OO_fraction,41,0.33410422735837186,0.032767109921633626,0.2716653168476989,0.08576156705883047
25,root_pair_preserving,7.54141543758647e-16,DCApost,41,0.14024801765654415,0.3817982788191637,0.04686411149825785,0.7710844953639957
25,root_pair_preserving,7.54141543758647e-16,OO_fraction,41,0.5488014156290384,0.00020294600763503563,0.4019338825189816,0.009189531446079629
26,strength_preserving,7.083292069882618e-16,DCApost,41,-0.30618223036996894,0.051542337278371916,-0.33379790940766557,0.03293725252354856
26,strength_preserving,7.083292069882618e-16,OO_fraction,41,0.3263236512428368,0.03731924791170983,0.23244468030167673,0.14361507162754317
26,root_pair_preserving,8.503817790848472e-16,DCApost,41,0.14498711864465894,0.36575560202479884,0.04634146341463416,0.7735700858323896
26,root_pair_preserving,8.503817790848472e-16,OO_fraction,41,0.5134602790357001,0.0005963431683768876,0.35154687433104,0.024204617302017794
27,strength_preserving,6.155632499309159e-16,DCApost,41,0.07531610094719869,0.6397774015738237,0.09459930313588853,0.5563171812945464
27,strength_preserving,6.155632499309159e-16,OO_fraction,41,0.3088458006225537,0.04944326389069585,0.22300622870580683,0.16106513987485663
27,root_pair_preserving,6.798213182764641e-16,DCApost,41,0.08847073486850132,0.5822845767534628,-0.04843205574912893,0.763641355770892
27,root_pair_preserving,6.798213182764641e-16,OO_fraction,41,0.5456936277452851,0.00022420539143761087,0.38135079872896155,0.01389050079584894
28,strength_preserving,6.168156675299616e-16,DCApost,41,0.008596192960731226,0.9574600458426252,-0.07038327526132405,0.6619092760401217
28,strength_preserving,6.168156675299616e-16,OO_fraction,41,0.31884778422044696,0.04216793965128575,0.24671026307168423,0.11994379478649936
