recording_id,surrogate,mean_abs_NetTE,extreme_pair_fraction
subject_12,197,0.011322691105306149,0.059496567505720827
subject_12,198,0.011309959925711155,0.05964912280701754
subject_12,199,0.011512885801494122,0.06193745232646834
subject_12,200,0.011510413140058517,0.058886346300533944
subject_13,1,0.006077715195715427,0.06128958760537708
subject_13,2,0.006032988429069519,0.05787195260879471
subject_13,3,0.005997414700686932,0.05616313511050353
subject_13,4,0.006005551666021347,0.060719981772613354
subject_13,5,0.006142896134406328,0.060719981772613354
subject_13,6,0.006109725683927536,0.061175666438824335
subject_13,7,0.006043145898729563,0.05718842560947824
subject_13,8,0.006106503773480654,0.061631351105035315
subject_13,9,0.00612605782225728,0.059466848940533154
subject_13,10,0.006028805859386921,0.057302346776030987
subject_13,11,0.006071093492209911,0.05718842560947824
subject_13,12,0.0060060773976147175,0.05775803144224197
subject_13,13,0.006021309643983841,0.05707450444292549
subject_13,14,0.006081732455641031,0.06094782410571884
subject_13,15,0.006166767328977585,0.06049213943950786
subject_13,16,0.006050541065633297,0.057302346776030987
subject_13,17,0.006040706764906645,0.055593529277739806
subject_13,18,0.0060854083858430386,0.05832763727500569
subject_13,19,0.006034545134752989,0.05901116427432217
subject_13,20,0.006027659866958857,0.05491000227842333
subject_13,21,0.006065156310796738,0.05923900660742766
subject_13,22,0.0060944948345422745,0.06311232627022101
subject_13,23,0.006117502227425575,0.06106174527227159
subject_13,24,0.006017901469022036,0.05844155844155844
subject_13,25,0.006067843176424503,0.05718842560947824
subject_13,26,0.006064015440642834,0.05889724310776942
subject_13,27,0.00600625853985548,0.05809979494190021
subject_13,28,0.006129574030637741,0.059922533606744134
subject_13,29,0.006040497217327356,0.056846662109820006
subject_13,30,0.006086375564336777,0.060378218272955114
subject_13,31,0.0061727180145680904,0.05901116427432217
subject_13,32,0.0061300937086343765,0.06151742993848257
subject_13,33,0.006016700062900782,0.05753018910913648
subject_13,34,0.006125422660261393,0.06015037593984962
subject_13,35,0.006111862137913704,0.05616313511050353
subject_13,36,0.006141626741737127,0.06106174527227159
subject_13,37,0.0061043910682201385,0.058213716108452954
subject_13,38,0.006069206167012453,0.05696058327637275
subject_13,39,0.006047168746590614,0.05764411027568922
subject_13,40,0.006049271207302809,0.05798587377534746
subject_13,41,0.006105846259742975,0.06015037593984962
subject_13,42,0.006145334802567959,0.06254272043745727
subject_13,43,0.006120035890489817,0.05707450444292549
subject_13,44,0.006019009742885828,0.05673274094326726
subject_13,45,0.006061411462724209,0.05673274094326726
subject_13,46,0.006021945271641016,0.05593529277739804
subject_13,47,0.006074890028685331,0.05935292777398041
subject_13,48,0.00607855012640357,0.06049213943950786
subject_13,49,0.006078676320612431,0.06185919343814081
subject_13,50,0.006085383240133524,0.057302346776030987
subject_13,51,0.006132877431809902,0.06220095693779904
subject_13,52,0.006138727068901062,0.05764411027568922
subject_13,53,0.006140708923339844,0.05889724310776942
subject_13,54,0.00607634661719203,0.05582137161084529
