recording_id,root_area_id,node,NetTE,n_functional_units,legacy_order,anatomy_group
subject_17,0,MON,0.003810122288292145,1,4,Hind
subject_17,1,Cb,0.0016453075832700028,4,2,Hind
subject_17,2,MOS1,0.003545724141770344,2,5,Hind
subject_17,3,MOS2,0.003475957886796571,1,6,Hind
subject_17,4,MOS3,0.004608784258008513,2,7,Hind
subject_17,5,MOS4,0.003258503028228952,1,8,Hind
subject_17,6,MOS5,0.0017122660560087064,2,9,Hind
subject_17,10,Ra,-0.0029011132768834423,1,15,Hind
subject_17,11,T,-0.0006086594419160351,2,17,Mes
subject_17,16,Hb,0.0013619355928397845,1,3,Di
subject_17,20,OB,0.0006396735935524239,1,1,Tel
subject_17,22,P,0.007025362056053426,1,11,Tel
subject_17,24,PT,-0.004207310584867841,1,13,Di
subject_17,25,PO,-0.0062682723826671845,1,12,Tel
subject_17,26,PrT,-0.004371190297653818,1,14,Di
subject_17,28,SP,0.006327992402538799,1,16,Tel
subject_17,29,TeO,0.0006346339868169724,19,19,Mes
subject_17,30,Th,-2.595477215969427e-06,1,20,Di
subject_17,32,TS,-0.0021141898765227383,1,18,Mes
subject_17,35,NX,0.00231766304898927,1,10,Hind
subject_17,36,rMON,0.0009641867498069824,2,23,Hind
subject_17,37,rCb,0.00014162310393649657,5,21,Hind
subject_17,38,rMOS1,0.0021997463479573793,3,24,Hind
subject_17,39,rMOS2,-0.0006760686995954631,1,25,Hind
subject_17,40,rMOS3,-0.000897007342498422,3,26,Hind
subject_17,41,rMOS4,0.0009526931565553068,2,27,Hind
subject_17,42,rMOS5,0.001160420604192933,3,28,Hind
subject_17,46,rRa,-0.004258441133604589,1,34,Hind
subject_17,47,rT,0.0012579239274880596,2,36,Mes
subject_17,48,raRF,-0.006208049349602702,1,40,Hind
subject_17,49,rimRF,-0.00029960416928106163,1,41,Hind
subject_17,50,rpRF,-0.0009318127406390337,1,42,Hind
subject_17,52,rHb,0.0046645649137277,1,22,Di
subject_17,58,rP,0.0005128664542628466,2,30,Tel
subject_17,60,rPT,0.0012743029623713733,1,32,Di
subject_17,61,rPO,0.0013889117018371611,1,31,Tel
subject_17,62,rPrT,-0.0007947385376625681,1,33,Di
subject_17,64,rSP,0.01007944221051955,1,35,Tel
