epsilon,run,layer,energy_well_width,delta_u,n_dynamic_fc_windows
0.1,21,Layer 1,0.779763131946885,2.0,169
0.1,22,Layer 1,0.4276120400999046,2.0,169
0.1,23,Layer 1,0.20122919534113137,2.0,169
0.1,24,Layer 1,0.25153649417641444,2.0,169
0.1,25,Layer 1,0.7294558331116019,2.0,169
0.1,26,Layer 1,0.7294558331116021,2.0,169
0.1,27,Layer 1,0.25153649417641444,2.0,169
0.1,28,Layer 1,0.2012291953411316,2.0,169
0.1,29,Layer 1,0.22638284475877302,2.0,169
0.1,30,Layer 1,0.20122919534113148,2.0,169
0.1,31,Layer 1,0.5030729883528289,2.0,169
0.1,32,Layer 1,0.7546094825292435,2.0,169
0.1,33,Layer 1,0.3018437930116973,2.0,169
0.1,34,Layer 1,0.35215109184698024,2.0,169
0.1,35,Layer 1,1.4840653156408454,2.0,169
0.1,36,Layer 1,0.3018437930116973,2.0,169
0.1,37,Layer 1,0.5785339366057533,2.0,169
0.1,38,Layer 1,0.20122919534113137,2.0,169
0.1,39,Layer 1,0.45276568951754603,2.0,169
0.1,40,Layer 1,1.2828361202997138,2.0,169
0.1,41,Layer 1,1.1822215226291481,2.0,169
0.1,42,Layer 1,0.20122919534113148,2.0,169
0.1,43,Layer 1,0.7294558331116021,2.0,169
0.1,44,Layer 1,0.3269974424293387,2.0,169
0.1,45,Layer 1,0.7043021836939606,2.0,169
0.1,46,Layer 1,0.25153649417641444,2.0,169
0.1,47,Layer 1,0.3269974424293388,2.0,169
0.1,48,Layer 1,0.779763131946885,2.0,169
0.1,49,Layer 1,0.3018437930116973,2.0,169
0.1,0,Layer 2,0.1387991465020103,2.0,169
0.1,1,Layer 2,0.1908488264402639,2.0,169
0.1,2,Layer 2,0.34699786625502527,2.0,169
0.1,3,Layer 2,0.10409935987650765,2.0,169
0.1,4,Layer 2,0.4857970127570354,2.0,169
0.1,5,Layer 2,0.1908488264402639,2.0,169
0.1,6,Layer 2,0.17349893312751263,2.0,169
0.1,7,Layer 2,0.8327948790120606,2.0,169
0.1,8,Layer 2,0.10409935987650776,2.0,169
0.1,9,Layer 2,0.6072462659462943,2.0,169
0.1,10,Layer 2,0.19084882644026402,2.0,169
