epsilon,run,layer,fc_state_mean,fc_state_std,fc_state_width_p95_p05,fcv_from_fc_state
0.0,35,Layer 3,0.918803559317546,0.1027212558029018,0.2994302219513213,0.10241689585745081
0.0,35,Layer 4,0.8946669312052264,0.12966017100428004,0.39026668651795926,0.1292759918753785
0.0,36,Layer 1,0.8427159119391134,0.21212381569503685,0.6159332942213724,0.21149529930406047
0.0,36,Layer 2,0.9444812277049099,0.07164086630175862,0.20937306083985796,0.0714285966016928
0.0,36,Layer 3,0.9438815297066581,0.07317471109540608,0.21551471876460393,0.07295789666003619
0.0,36,Layer 4,0.9315858553836335,0.08916892990307788,0.26587301249912965,0.08890472508559298
0.0,37,Layer 1,0.8926302126130466,0.1327772053616536,0.3890560353757372,0.13238379055509644
0.0,37,Layer 2,0.9058254222632725,0.12739432455965766,0.3472294794377617,0.12701685906460822
0.0,37,Layer 3,0.9319504549629115,0.08938663087520095,0.2647958052117083,0.08912178101638084
0.0,37,Layer 4,0.8438373971014923,0.22570230018651305,0.6986193703066689,0.22503355116046206
0.0,38,Layer 1,0.20430651632504218,0.3145448188754092,1.0195873680965382,0.31361283217833735
0.0,38,Layer 2,0.6470553727962691,0.17967827161996458,0.5323312183204301,0.17914589038570555
0.0,38,Layer 3,0.6836261867360474,0.13632939732953014,0.4201981722489173,0.13592545748660032
0.0,38,Layer 4,0.6620565493427057,0.15691369770249416,0.46726900443189234,0.1564487672058803
0.0,39,Layer 1,0.30461236276366466,0.28448827537203275,0.8935995415703986,0.28364534529590696
0.0,39,Layer 2,0.40235846233293243,0.25550402146156337,0.8406837720569377,0.25474697084505066
0.0,39,Layer 3,0.41814711199689447,0.2673002983509645,0.822506225764516,0.26650829572610146
0.0,39,Layer 4,-0.04448435169486619,0.3711918995359332,1.155417419810607,0.37009206926797605
0.0,40,Layer 1,0.5730943402638484,0.370791916303283,1.0427429287155934,0.3696932711734351
0.0,40,Layer 2,0.7500004948328874,0.22876701113157696,0.6217339982281531,0.22808918146054377
0.0,40,Layer 3,0.7560917881149708,0.22498021126261195,0.6112867478818989,0.22431360176400117
0.0,40,Layer 4,0.5563996635507359,0.41236753498674705,1.0787570620901237,0.411145702567806
0.0,41,Layer 1,0.9428437946168998,0.0772225828357169,0.2176238808938159,0.07699377467993891
0.0,41,Layer 2,0.9749897201944375,0.03129269837714015,0.09420173391998132,0.031199979067035973
0.0,41,Layer 3,0.9757715157550931,0.030976077674465252,0.08853441893422154,0.030884296501838476
0.0,41,Layer 4,0.9601068941806414,0.056590745660541536,0.16784085429156226,0.056423069008541465
0.0,42,Layer 1,0.7333208107263183,0.3095580183889819,0.8912705277685091,0.3086408074295329
0.0,42,Layer 2,0.84537941698672,0.1907991897876298,0.5339166650941778,0.1902338576122981
