Subject,RegionID,node,exclusion_band_sd,OO,retained_edge_fraction
12,45,rHc,0.35,,0.5797331438224393
12,46,rRa,0.35,0.0,0.5797331438224393
12,47,rT,0.35,0.0,0.5797331438224393
12,48,raRF,0.35,0.0,0.5797331438224393
12,49,rimRF,0.35,0.0,0.5797331438224393
12,50,rpRF,0.35,0.0,0.5797331438224393
12,51,rGG,0.35,,0.5797331438224393
12,52,rHb,0.35,,0.5797331438224393
12,53,rHi,0.35,,0.5797331438224393
12,54,rHR,0.35,,0.5797331438224393
12,55,rOG,0.35,,0.5797331438224393
12,56,rOB,0.35,,0.5797331438224393
12,57,rOE,0.35,,0.5797331438224393
12,58,rP,0.35,,0.5797331438224393
12,59,rPi,0.35,,0.5797331438224393
12,60,rPT,0.35,,0.5797331438224393
12,61,rPO,0.35,0.4286472461375162,0.5797331438224393
12,62,rPrT,0.35,,0.5797331438224393
12,63,rR,0.35,,0.5797331438224393
12,64,rSP,0.35,,0.5797331438224393
12,65,rTeO,0.35,0.20472910571398356,0.5797331438224393
12,66,rTh,0.35,,0.5797331438224393
12,67,rTL,0.35,,0.5797331438224393
12,68,rTS,0.35,,0.5797331438224393
12,69,rTG,0.35,,0.5797331438224393
12,70,rVR,0.35,,0.5797331438224393
12,71,rNX,0.35,0.0,0.5797331438224393
12,0,MON,0.5,0.6105132291998725,0.42615278446981736
12,1,Cb,0.5,0.2542785549795583,0.42615278446981736
12,2,MOS1,0.5,0.0,0.42615278446981736
12,3,MOS2,0.5,0.0,0.42615278446981736
12,4,MOS3,0.5,0.24638619900465286,0.42615278446981736
12,5,MOS4,0.5,0.30543872862208155,0.42615278446981736
12,6,MOS5,0.5,0.4010465661525892,0.42615278446981736
12,7,IPN,0.5,,0.42615278446981736
12,8,IO,0.5,,0.42615278446981736
12,9,Hc,0.5,,0.42615278446981736
12,10,Ra,0.5,0.0,0.42615278446981736
12,11,T,0.5,0.20740422256356555,0.42615278446981736
12,12,aRF,0.5,0.0,0.42615278446981736
12,13,imRF,0.5,0.0,0.42615278446981736
12,14,pRF,0.5,0.0,0.42615278446981736
12,15,GG,0.5,,0.42615278446981736
12,16,Hb,0.5,,0.42615278446981736
12,17,Hi,0.5,,0.42615278446981736
12,18,HR,0.5,,0.42615278446981736
12,19,OG,0.5,,0.42615278446981736
12,20,OB,0.5,,0.42615278446981736
12,21,OE,0.5,,0.42615278446981736
12,22,P,0.5,,0.42615278446981736
12,23,Pi,0.5,,0.42615278446981736
12,24,PT,0.5,,0.42615278446981736
12,25,PO,0.5,,0.42615278446981736
12,26,PrT,0.5,0.0,0.42615278446981736
12,27,R,0.5,,0.42615278446981736
12,28,SP,0.5,,0.42615278446981736
12,29,TeO,0.5,0.192635465132375,0.42615278446981736
12,30,Th,0.5,,0.42615278446981736
12,31,TL,0.5,,0.42615278446981736
12,32,TS,0.5,,0.42615278446981736
12,33,TG,0.5,,0.42615278446981736
12,34,VR,0.5,,0.42615278446981736
12,35,NX,0.5,0.0,0.42615278446981736
12,36,rMON,0.5,,0.42615278446981736
12,37,rCb,0.5,0.3107496134955056,0.42615278446981736
12,38,rMOS1,0.5,0.1422859704674067,0.42615278446981736
12,39,rMOS2,0.5,0.0,0.42615278446981736
12,40,rMOS3,0.5,0.15337724734470468,0.42615278446981736
12,41,rMOS4,0.5,0.2768520777932342,0.42615278446981736
12,42,rMOS5,0.5,0.351045126515315,0.42615278446981736
12,43,rIPN,0.5,,0.42615278446981736
12,44,rIO,0.5,,0.42615278446981736
12,45,rHc,0.5,,0.42615278446981736
12,46,rRa,0.5,0.0,0.42615278446981736
12,47,rT,0.5,0.0,0.42615278446981736
12,48,raRF,0.5,0.0,0.42615278446981736
12,49,rimRF,0.5,0.0,0.42615278446981736
12,50,rpRF,0.5,0.0,0.42615278446981736
12,51,rGG,0.5,,0.42615278446981736
12,52,rHb,0.5,,0.42615278446981736
12,53,rHi,0.5,,0.42615278446981736
12,54,rHR,0.5,,0.42615278446981736
12,55,rOG,0.5,,0.42615278446981736
12,56,rOB,0.5,,0.42615278446981736
12,57,rOE,0.5,,0.42615278446981736
12,58,rP,0.5,,0.42615278446981736
12,59,rPi,0.5,,0.42615278446981736
12,60,rPT,0.5,,0.42615278446981736
12,61,rPO,0.5,,0.42615278446981736
12,62,rPrT,0.5,,0.42615278446981736
12,63,rR,0.5,,0.42615278446981736
12,64,rSP,0.5,,0.42615278446981736
