Subject,RegionID,node,temperature_sd,soft_OO
13,45,rHc,0.1,0.13965070126884746
13,46,rRa,0.1,0.0018737238298856282
13,47,rT,0.1,0.08566540611689033
13,48,raRF,0.1,0.0002016262650342906
13,49,rimRF,0.1,3.7162204422038436e-14
13,50,rpRF,0.1,0.21164114366815368
13,51,rGG,0.1,
13,52,rHb,0.1,0.24332902132598783
13,53,rHi,0.1,0.1298291312145587
13,54,rHR,0.1,0.46171363327789405
13,55,rOG,0.1,
13,56,rOB,0.1,
13,57,rOE,0.1,
13,58,rP,0.1,0.46615604972647334
13,59,rPi,0.1,
13,60,rPT,0.1,0.11673899343242813
13,61,rPO,0.1,0.360462231566762
13,62,rPrT,0.1,0.3438347244872701
13,63,rR,0.1,
13,64,rSP,0.1,0.3229780087241174
13,65,rTeO,0.1,0.32345902042928726
13,66,rTh,0.1,0.25784821152153203
13,67,rTL,0.1,0.17285411057546277
13,68,rTS,0.1,0.3784068100806339
13,69,rTG,0.1,
13,70,rVR,0.1,0.5552440436757061
13,71,rNX,0.1,0.004467118478160382
13,0,MON,0.2,0.48486546080686255
13,1,Cb,0.2,0.17109154638346372
13,2,MOS1,0.2,0.125995902771232
13,3,MOS2,0.2,0.03162359912059816
13,4,MOS3,0.2,0.1590815241680386
13,5,MOS4,0.2,0.36711892794098144
13,6,MOS5,0.2,0.4415174417353234
13,7,IPN,0.2,0.2553026359035096
