root_area_id,node,anatomy_group,n_subjects,Hard_OO_fraction,FU_DCApost,FU_DCApre,LogOutIn,OutputParticipation,Reciprocity,CycleParticipation,complete_primary_measures
30,Th,Di,7,0.20195891751434328,-0.0018217059790785143,0.02152679171246077,-0.03518075331547609,0.6236302337037085,0.6154138189254619,0.9995177589913968,True
31,TL,Mes,7,0.37629561160471564,0.0138625065616685,0.011753146316890473,-1.0876477930209416,0.39683291695649786,0.242532032293175,0.9994233818653597,True
32,TS,Mes,7,0.358981311174492,-0.035104800783203084,-0.015773492359034656,0.429149662167676,0.5623523031078995,0.3048079770709031,1.0,True
33,TG,Hind,7,0.9733840304182511,0.0382747768314398,,1.6245543142125878,0.3055555555555556,0.0,0.0,False
34,VR,Hind,7,0.7615318997898021,0.025947873412431,-0.012441046366703618,1.6704038860991266,0.44803661000981004,0.050101885328258024,0.7812682299439985,True
35,NX,Hind,7,0.20675052963102555,0.0031199583753822708,0.023040261552469844,0.14291255539299108,0.45686571215642985,0.4837765825558689,1.0,True
36,rMON,Hind,7,0.5436463547482934,0.008558308743506115,0.004519749422992528,1.044734957512706,0.5228513611853365,0.2968921273725411,0.9999025782346924,True
37,rCb,Hind,7,0.31411952562745504,0.006071773153426487,0.01878265961920633,0.037601111807055845,0.5626037097952972,0.6381576352192531,0.9999631053523993,True
38,rMOS1,Hind,7,0.254017436979185,-0.02433885823292607,0.03958244177690456,-0.019552442883361602,0.5723215452486047,0.7359588160327765,0.9999026451530767,True
39,rMOS2,Hind,7,0.15828614358388185,0.005027942187121728,0.034393309926898916,-0.6066078939369736,0.6401613406661111,0.7251488915613605,0.9998395733251045,True
40,rMOS3,Hind,7,0.28906695962966167,-0.04846950173368758,0.02303302697833983,0.3177413137598153,0.5905402343493743,0.6159893273276525,0.9997449198740851,True
41,rMOS4,Hind,7,0.3652234134489708,-0.020239437506487913,0.0190440173788993,0.322899957256694,0.580384729833171,0.5766888789727588,0.999838399521583,True
