node,DCA,PostDCA,PreDCA,OO_fraction,out_degree,in_degree
RMEV,-0.00592739176027673,-0.04974257496042957,0.005031462257784791,0.0,8,18
RMFL,0.0018575255842829298,-0.019891565083054067,0.03248704237761003,0.5,12,13
RMFR,-0.01588857297147693,-0.003705400969118486,0.05256704724881933,0.0,6,10
RMGL,0.03914780148590924,-0.06457089744523098,0.006922637217125765,0.4666666666666667,30,20
RMGR,0.048031465145379065,-0.054582743395253173,0.016540889470708982,0.5555555555555556,27,14
RMHL,-0.004308717762654347,-0.045117178855425315,0.008288207377271466,0.0,9,17
RMHR,-0.002875740448061769,-0.012655924632026697,0.007422900195763227,0.0,8,16
SAADL,0.04214701084373594,-0.10106872883933662,-0.0008080246665872997,0.2857142857142857,14,14
SAADR,0.06524621590557914,-0.12045896841313251,0.018188332427237632,0.4,15,13
SAAVL,0.14342174162087307,-0.15128374059046704,0.0015495056895397485,0.25,20,16
SAAVR,0.10082055190509283,-0.15536878696303766,-0.05504440478591353,0.2857142857142857,14,10
SABD,-0.013855508700892027,0.05369661337465754,-0.003178278394313874,0.0,2,13
SABVL,-0.020820829763852224,0.07734117974577555,-0.009186370185139434,0.0,2,9
SABVR,-0.017256169101231355,0.14342174162087307,-0.015705954033095215,0.0,1,8
SDQL,0.03726390440259359,-0.07343438765361551,-0.008960671625259346,0.47368421052631576,19,6
SDQR,0.04596183128603466,-0.040062399377834096,-0.0014960300929066556,0.5,14,3
SIADL,0.005999511288096098,-0.03889499708895179,-0.020597956153816703,0.5714285714285714,7,12
SIADR,0.005863529217436507,-0.0694727037723157,-0.024635356179271387,0.5,8,14
SIAVL,-0.020696150672335337,-0.026812161064714422,-0.009187997017869584,0.0,6,12
SIAVR,-0.011975073828395242,-0.028283040899799383,-0.02391549102565031,0.0,5,15
SIBDL,0.0023484742032694296,-0.06494844149264635,-0.03321548584834914,0.6666666666666666,6,7
SIBDR,-0.006188785823409437,-0.12630110680509624,-0.0652519557606819,0.0,2,12
SIBVL,-0.0032604183067804528,-0.05750843738356589,-0.030436053038300753,0.0,6,15
SIBVR,0.001988066247803644,-0.0341470468951432,0.007417757923628115,0.5,8,13
SMBDL,-0.0106683342146697,0.017596526375157906,0.013815489951443743,0.0,10,16
SMBDR,-0.02706516052200412,0.009984251534169387,0.02952683773737174,0.0,10,21
SMBVL,-0.01628148284858359,0.007202838703933759,0.024389206689046747,0.0,13,19
SMBVR,-0.01863427350872179,0.017112917616267653,0.027725457523699662,0.0,14,17
SMDDL,-0.11295185192975608,0.03528761233604237,0.062907990200703,0.0,19,25
