node,EdgeStdFCV,FCV_raw,NetTE,NetTE_raw,n_recordings,DCA,PostDCA,PreDCA,OO_fraction,LogOutIn,out_degree,in_degree,out_strength,in_strength,fine_class
IL2L,-0.5412986743081419,0.33027286336048095,-0.05285048901152847,-0.0004153755394724731,15,0.008435088849298642,0.021439905960820325,0.020794645285919924,0.6153846153846154,1.9095425048844386,13,9,107.0,15.0,mechanosensory / other sensory
IL2R,0.05829364215895443,0.34873226234117544,0.32587153526548696,0.00180236173185908,11,0.003483309125411706,0.03489928530476015,0.04344802599116248,0.6666666666666666,1.992430164690206,15,6,87.0,11.0,mechanosensory / other sensory
IL2VL,-1.2041086075541647,0.3112352725450131,-0.2514065827122145,-0.0014484785712420192,11,0.010511189643756153,0.00856663741980714,0.08799472389673861,0.6666666666666666,3.0349529867072724,12,1,103.0,4.0,mechanosensory / other sensory
IL2VR,-0.6951630934614009,0.32754641290861397,-0.3352028432961946,-0.00376239588743429,13,0.011741347026054467,0.004116946088548941,0.025924597994714915,0.5714285714285714,2.3092296357127142,14,5,150.0,14.0,mechanosensory / other sensory
OLLL,0.6043350539480736,0.35802892462850044,-0.1306136562249086,-0.0009115162170159324,16,0.08079480063261299,-0.04797902302084105,0.038977271747781886,0.42857142857142855,1.4744016286301573,14,10,165.0,37.0,mechanosensory / other sensory
OLLR,0.4679608867959712,0.3552263139165703,0.450896586195467,0.004370262835907048,17,0.07557513449445541,-0.06555554651285787,0.019145204798694734,0.42857142857142855,0.8945169323245945,21,19,158.0,64.0,mechanosensory / other sensory
OLQDL,1.0444487247288894,0.3717279223689177,0.609524442092576,0.003857119357502706,17,0.0026736574152387855,-0.03266714784689745,0.02884240753105036,0.5,-0.45425527227759643,10,5,39.0,62.0,mechanosensory / other sensory
OLQDR,0.22605636168941218,0.34908291738494,-0.21487609415316017,-0.0013779384212915609,16,0.008224630708352203,-0.06638096983923968,0.01683087900799892,0.5,-0.5447271754416722,8,10,28.0,49.0,mechanosensory / other sensory
OLQVL,1.152275259298484,0.3733040330691493,0.2453915409491867,0.001083363338641469,16,0.0026014394146717766,-0.06404672848186957,0.029003570762732606,0.42857142857142855,-0.7835312420282143,7,13,36.0,80.0,mechanosensory / other sensory
OLQVR,0.39741570626136585,0.35459359477209684,0.1394897425515286,0.0007757461799290461,12,0.02666971894771102,0.0031116311164981455,0.008477919983472663,0.5555555555555556,0.2341933875007947,9,13,90.0,71.0,mechanosensory / other sensory
RIAL,-0.13505109233064383,0.3437962793480333,-0.20498550554209657,-0.001557333784192984,12,0.1402780601101656,-0.1068063283977445,0.035420862306987634,0.37037037037037035,-0.08138460378211487,27,36,400.0,434.0,associative interneuron
RIAR,-0.9000968145361158,0.3229678198623915,-0.3154648728615595,-0.0024014839373051773,8,0.2441446414097297,-0.11280202502539353,0.02167500784241707,0.32,0.05978791837897343,25,35,447.0,421.0,associative interneuron
RIBL,1.0562738018266713,0.3682365747408745,3.273036574949599,0.025986397703377538,10,-0.03809181080703441,-0.0017944493826480908,0.0543817177300648,0.0,-0.9702311220199029,17,23,82.0,218.0,associative interneuron
RIBR,1.0345628275740701,0.35840452618904894,2.7433460996256525,0.02430942864838742,3,-0.05110787395940488,-0.008284172365459481,0.058489516441046115,0.0,-1.297815632436311,20,21,61.0,226.0,associative interneuron
RICL,-0.5805222444603506,0.3305588809784625,-0.6940183197584222,-0.0046580788928664366,16,0.0832728406285752,-0.14877168463268065,0.0147470578983955,0.45,0.06524052186840094,20,17,94.0,88.0,state-modulatory interneuron
RICR,-0.9067203256429737,0.3160679262542969,-0.5214092421829994,-0.003967835035122421,10,0.07220511426693743,-0.12583098412108015,0.01813996832886312,0.4090909090909091,-0.05826890812397576,22,21,99.0,105.0,state-modulatory interneuron
RID,1.2065103801818478,0.37863455910220356,1.0281022919761975,0.007528866012816776,14,-0.015396036750399415,0.010822756926293345,-0.023940699209723817,0.0,-1.1921383466789333,8,14,16.0,55.0,interneuron / integrative
RIH,0.45433227341321897,0.3553691426363644,-0.3291322731015071,-0.0026246731989873384,14,0.08799472389673861,0.05187372704837928,0.010455945450003003,0.7931034482758621,0.8777184570879153,29,24,266.0,110.0,interneuron / integrative
RIML,1.033377932167541,0.3633513572898398,-0.5668768269453489,-0.004456709638607942,7,0.024981787808531275,-0.04109274787290395,0.027758114818427493,0.375,-0.17275210577780392,24,25,174.0,207.0,state-modulatory interneuron
RIMR,0.979667114368595,0.36621187477579026,0.23393847389385952,0.0019693075941098434,7,-0.022607016951765743,-0.04305951347369149,0.04553366222585436,0.0,-0.4845083154486173,21,25,153.0,249.0,state-modulatory interneuron
RIR,0.4412509707426704,0.34977667201851925,-0.5906004955507081,-0.004963627156585486,4,0.013046249352954314,0.04447275997128372,0.026852061498603714,0.8461538461538461,0.38171102210005725,26,21,103.0,70.0,interneuron / integrative
RIS,0.958629413721597,0.374863167247913,0.5333315511850701,0.0031836593389197657,3,0.06000014406087133,-0.021928778824338007,-0.013738461895713852,0.4,1.5664205273504097,25,18,181.0,37.0,state-modulatory interneuron
RIVL,0.9972305011209863,0.3703207024532238,0.15705568294719466,0.0012220335848835704,18,-0.0007743854946995685,-0.014288403618694505,0.03248766344932846,0.0,0.04546237407675741,10,13,44.0,42.0,head motor / premotor
RIVR,0.8761092793696641,0.36618329992084286,0.06655149251049562,0.0007473973230554598,16,-0.010995322104351772,0.0019053193604263846,0.08988986801599128,0.0,0.3867729750960119,13,12,52.0,35.0,head motor / premotor
RMDDL,-0.4267055607102168,0.33407685289473227,-0.28300956504167735,-0.002441911038844646,16,-0.21252383909096983,-0.07544883430660504,0.05822123572928165,0.0,-1.9989026791958235,9,26,41.0,309.0,head motor / premotor
RMDDR,-0.8017522098487917,0.3219757821253159,-0.4294764146425649,-0.003634486527089399,12,-0.19607345473048882,-0.19166400416097348,0.06182114142021067,0.0,-2.239336062686346,3,21,30.0,290.0,head motor / premotor
RMDL,0.9849813176601858,0.37336609470789617,0.47566465685791787,0.004348845816772759,14,-0.04098300006602268,0.059394912422042395,0.04716252341831606,0.0,-0.6341488397979895,26,27,95.0,180.0,head motor / premotor
RMDR,-0.13327215859078637,0.34670397490354565,-0.2865244782136701,-0.0018102226039934243,5,-0.08345486895369653,0.05355522925428247,0.06711560294685051,0.0,-1.0266387890430204,13,29,71.0,200.0,head motor / premotor
RMDVL,-0.24810333637721566,0.33738720885489987,0.12062035160019713,0.0012588907246679595,14,-0.19371563788741372,-0.13824824506571526,0.07529284165849708,0.0,-1.5500836697849176,11,20,58.0,277.0,head motor / premotor
RMDVR,-0.7670451758533607,0.32318603247143646,-0.220368570546463,-0.001962014877880673,14,-0.16692990022182586,-0.14086155120521715,0.07083279696373337,0.0,-1.4240346891027378,12,22,64.0,269.0,head motor / premotor
RMED,0.36617760846471875,0.353373381532017,-0.685546684611313,-0.0017411920765000458,3,-0.003602899439603806,-0.11615538181922949,-0.03628696622579061,0.0,-2.2246235515243336,4,14,7.0,73.0,head motor / premotor
RMEL,1.2068811790496337,0.3729173911960549,0.5397862409309568,0.005138141630111537,15,-0.006675661804546293,0.02994039217113434,0.015254824601001,0.0,-2.512305623976115,4,12,5.0,73.0,head motor / premotor
RMER,0.8615453860637156,0.3665674748527864,1.2280920129587316,0.00839409045642756,17,-0.01067720077664177,0.03528114304017471,0.017686188363642465,0.0,-2.3632097148104805,2,16,7.0,84.0,head motor / premotor
RMEV,0.8770547404634962,0.36453814502019516,0.6210848346925902,0.0047252226321609645,6,-0.00592739176027673,-0.04974257496042957,0.005031462257784791,0.0,-2.145399509471633,8,18,10.0,93.0,head motor / premotor
RMGL,-1.1846470138472636,0.3073969988275052,-0.4432681144684465,-0.003107633535443589,6,0.03914780148590924,-0.06457089744523098,0.006922637217125765,0.4666666666666667,0.461345566502621,30,20,91.0,57.0,state-modulatory interneuron
SAADL,0.42281710542531786,0.35929496080040363,0.6225526379771734,0.003814466148903658,3,0.04214701084373594,-0.10106872883933662,-0.0008080246665872997,0.2857142857142857,-0.2363887780642304,14,14,59.0,75.0,head motor / premotor
SAADR,0.23219846639834524,0.3438769782655197,-0.3992147893978779,-0.0032779913319994935,4,0.06524621590557914,-0.12045896841313251,0.018188332427237632,0.4,0.24323030988094702,15,13,87.0,68.0,head motor / premotor
SAAVL,0.02309476825204865,0.34810506262831586,-0.6264351699855982,-0.0039501528541033455,11,0.14342174162087307,-0.15128374059046704,0.0015495056895397485,0.25,0.8807457944547437,20,16,151.0,62.0,head motor / premotor
SAAVR,-0.09471359699371337,0.3284403526636574,-0.2310932300417275,-0.002339356244565212,4,0.10082055190509283,-0.15536878696303766,-0.05504440478591353,0.2857142857142857,0.8846853924588238,14,10,108.0,44.0,head motor / premotor
