legacy_order,root_area_id,node,anatomy_group,spont_FCV,spont_FCS,Hard_OO_fraction,FU_DCApost,FU_DCApre,Reciprocity,LogOutIn,stim_FCV,stim_FCS,stim_FCV_condition_sd,EdgeStdFCV,FCS,ConditionFCVSD,Hard_OO_fraction_raw,FU_DCApost_raw,FU_DCApre_raw,Reciprocity_raw,LogOutIn_raw
32,60,rPT,Di,0.3381307525751053,0.2757092623613145,-1.561257264951644,0.3156166556189683,-0.5151191530631396,0.8465526984311912,-1.1512750135312226,0.2380141782120702,0.2590599261297714,0.1869804643196043,0.43379220325717277,0.10986132009838964,-0.6296711223905853,-1.561257264951644,0.3156166556189683,-0.5151191530631396,0.8465526984311911,-1.1512750135312226
33,62,rPrT,Di,0.3316452819795608,0.3051844690224926,-0.0057491660725161155,0.9710855919488852,0.11090018372327486,0.4087383079755641,-0.004590400750684605,-0.3075338000929238,0.5675548473550215,0.3373609459726449,-0.6632270028439329,0.6169095980478144,0.5190031818411571,-0.0057491660725161,0.9710855919488852,0.1109001837232749,0.408738307975564,-0.0045904007506846
34,46,rRa,Hind,0.325646798313019,0.2349411951083358,-1.561257264951644,0.3980053862822999,2.2249783695800907,1.3076805123621011,-1.533436805436538,0.1319288226318029,-0.2191778752882923,0.14218414153531406,0.22046967767619396,-0.6761796710992982,-0.9718457473203409,-1.561257264951644,0.3980053862822999,2.2249783695800907,1.307680512362101,-1.533436805436538
35,64,rSP,Tel,0.3707708274360314,0.1816030724487551,2.149014424573518,0.7854682089037683,-0.7107309160343696,-1.5061477674159245,1.5437079485324887,0.4364874268559123,0.3994898113563391,0.18960459588978848,0.8328936101326125,0.34067462228813883,-0.6096268156264374,2.149014424573518,0.7854682089037683,-0.7107309160343696,-1.5061477674159247,1.5437079485324887
36,47,rT,Mes,0.3282912645901117,0.301591592689416,-0.4128711220837352,-1.9871730355540471,0.6008405960198556,0.4655098244030845,-0.0669208094951259,-0.3980630810661436,0.9295466313567312,0.2146879361667513,-0.8452684802052951,1.2118863645401499,-0.4180288893282293,-0.4128711220837352,-1.987173035554047,0.6008405960198556,0.4655098244030844,-0.0669208094951259
37,68,rTS,Mes,0.2964189996255963,0.1302049278206433,-0.2794996703236148,-0.5488151157991776,-0.8433362008463037,-1.8875348492156614,-1.0143523750308268,-0.0300846970162386,-0.5006920111297432,0.43503211312312134,-0.10531641221850191,-1.1388818032118864,1.2650598424982706,-0.2794996703236148,-0.5488151157991774,-0.8433362008463037,-1.8875348492156616,-1.0143523750308268
38,65,rTeO,Mes,0.332032846214792,0.1842912797411063,-0.07306999783086882,-0.28897178166810433,-0.06395221098240104,0.673723572880298,-0.1581925393857762,0.6473397174426797,0.0498741025900747,0.45941874690701406,1.256887505486725,-0.23396058522169688,1.4513360087024563,-0.0730699978308688,-0.2889717816681042,-0.063952210982401,0.6737235728802979,-0.1581925393857762
39,66,rTh,Di,0.3476003744539429,0.2461515468686517,0.6244483843712704,0.4695807944436643,-0.08416204445332594,-0.11063001637233037,0.1249316444933456,0.308313837703299,0.5319373783481689,0.10657756035254803,0.5751547959366586,0.5583680303191998,-1.243824959094317,0.6244483843712704,0.4695807944436643,-0.0841620444533259,-0.1106300163723305,0.1249316444933456
40,48,raRF,Hind,0.2979164304441501,0.2947607388347321,-1.2551765490696951,-0.3121488512287212,1.4143277190881285,1.3581878401102294,-1.904147039492214,-0.5680644401123071,0.5907490138772196,0.3403201974025553,-1.1871169763107459,0.6550319831647016,0.5416072860436019,-1.2551765490696951,-0.3121488512287211,1.4143277190881285,1.3581878401102292,-1.904147039492214
41,49,rimRF,Hind,0.3029837656647399,0.3093367893447048,-1.561257264951644,-1.3684589138032501,1.8771293372527276,1.1778897414701652,-0.7203566285865566,-0.3626269469224296,0.7245505133752355,0.0860226202512153,-0.7740114665391269,0.8749507411075045,-1.400832911588437,-1.561257264951644,-1.36845891380325,1.8771293372527276,1.177889741470165,-0.7203566285865566
42,50,rpRF,Hind,0.3229966092212404,0.260377422124195,-1.409446585383902,-0.2800263451260332,1.695009788949339,1.482229262236643,-1.5670303090408684,-0.1425164444721939,0.4324325558770249,0.5481852353164332,-0.3314006270622745,0.39481996060943114,2.1293746955849495,-1.409446585383902,-0.2800263451260331,1.695009788949339,1.4822292622366429,-1.5670303090408684
